订单编号,富龙实收金额,通联实扣金额
SEQR0282382556,166.67,166.67
B2024073118000501515,75,75
B2024073118000501515,75,75
B2024073118000501515,75,75
B2024073118000501515,75,75
B2024073118000526272,63.33,63.33
B2024073118000526272,63.33,63.33
B2024073118000526272,63.33,63.33
B2024073118000526272,63.35,63.35
B2024073118000526272,63.33,63.33
B2024073118000526272,63.33,63.33
B2024073118000552170,34.58,34.58
B2024073118000552170,34.58,34.58
B2024073118000552170,34.58,34.58
2005880000052431722416828629532524,5515.56,555.56
2005880000052431722400515417590296,41.67,41.67
2005880000052431722400515417590296,41.67,41.67
2005880000052431722400515417590296,41.67,41.67
2005880000052431722415660938855388,88.67,88.67
B2024073117000333919,208.33,1208.33
B2024073110000010841,108.33,108.33
B2024073118000347473,1888.89,888.89
B2024073118000347473,888.89,888.89
B2024073118000347473,2888.89,888.89
B2024073110000020195,158.33,158.33
2005880000052431722408734492503327,41.67,41.67
2005880000052431722435112587081518,53.25,53.25
2005880000052431722402186458141424,33.33,33.33
2005880000052431722398687021164296,75,75
2005880000052431722392403837619276,91.67,91.67
2005880000052431722377648138542368,250,250
B2024073117000334976,250,250
2005880000052431722377648921266934,41.67,41.67
2005880000052431722408738613372047,41.67,41.67
2005880000052431722396016861791665,191.67,191.67
2005880000052431722408745992694541,41.67,41.67
2005880000052431722425171392920184,83.33,83.33
2005880000052431722393422954948334,833.33,833.33
2005880000052431722393399560290170,833.33,833.33
2005880000052431722402187789147949,161.11,161.11
2005880000052431722435787161855207,66.67,66.67
2005880000052431722408747080543515,41.67,41.67
2005880000052431722376219398943432,41.67,41.67
2005880000052431722402390364177497,166.67,166.67
2005880000052431722416653869078078,108.33,108.33
2005880000052431722359736310015211,83.33,83.33
2005880000052431722396560124043891,750,750
2005880000052431722427415517958876,66.67,66.67
2005880000052431722357478141443384,75,75
2005880000052431722408363970180571,333.33,333.33
2005880000052431722430024671711364,177.87,177.87
2005880000052431722390039445769447,126.7,126.7
B2024073110000020193,41.67,41.67
2005880000052431722425051718800828,141.67,141.67
2005880000052431722416831302053271,27.78,27.78
2005880000052431722377653485581893,50,50
2005880000052431722381420251952005,66.67,66.67
2005880000052431722390879726949058,250,250
B240731095800688510,500,500
2005880000052431722380601128373592,91.67,91.67
B240731153720711614,200.01,200.01
2005880000052431722380639455832849,100,100
2005880000052431722408740496202926,58.33,58.33
2005880000052431722414727672446811,175,175
2005880000052431722414711073757114,175,175
2005880000052431722414735136301661,175,175
B240731110210693038,399.99,399.99
2005880000052431722427416219121106,308.33,308.33
2005880000052431722358870470051039,208.33,208.33
2005880000052431722358939260722685,208.33,208.33
2005880000052431722430948236293189,250,250
2005880000052431722415179203484769,358.33,358.33
2005880000052431722402190491239260,111.11,111.11
2005880000052431722402191195880517,94.44,94.44
2005880000052431722433051756967950,83.33,83.33
2005880000052431722397846327692491,333.33,333.33
2005880000052431722409816324863482,55.56,55.56
2005880000052431722376220940928678,41.67,41.67
2005880000052431722415765077969310,88.67,88.67
2005880000052431722415765943589957,88.89,88.89
2005880000052431722415766703237188,77.78,77.78
2005880000052431722390882047120871,333.33,333.33
2005880000052431722425052316238633,133.33,133.33
2005880000052431722402192408824248,50,50
2005880000052431722389064446020942,100,100
B240731171207716422,399.99,399.99
2005880000052431722417082135932545,133.33,133.33
2005880000052431722392404764547035,66.67,66.67
2005880000052431722381421191355418,66.67,66.67
B2024073117000337418,225,225
B240731153706711556,266.68,266.68
2005880000052431722376223045748240,41.67,41.67
2005880000052431722422354588385722,83.33,83.33
2005880000052431722395222032754620,233.33,233.33
2005880000052431722395396276198674,233.33,233.33
2005880000052431722395379419151978,233.33,233.33
2005880000052431722395388215171954,233.33,233.33
2005880000052431722422357635826421,66.67,66.67
2005880000052431722427873370910929,416.67,416.67
2005880000052431722427847147813370,416.67,416.67
2005880000052431722427861123324839,416.67,416.67
B2024073110000020207,83.33,83.33
2005880000052431722417463322641752,250,250
2005880000052431722417418513466217,250,250
2005880000052431722417451515243340,250,250
2005880000052431722408749213685021,166.67,166.67
2005880000052431722376224391850536,83.33,83.33
2005880000052431722415769942451701,88.67,88.67
2005880000052431722390041369046074,129.51,129.51
2005880000052431722393126659076597,41.67,41.67
2005880000052431722437228004531646,50,50
2005880000052431722437228004531646,50,50
2005880000052431722437228004531646,50,50
B240731224709736019,250,250
2005880000052431722437228004531646,50,50
2005880000052431722397004226631423,200,200
2005880000052431722427418571027444,325,325
2005880000052431722428982699674544,75,75
2005880000052431722400048477296680,50,50
2005880000052431722384178765963931,133.33,133.33
2005880000052431722384029335899352,66.5,66.5
2005880000052431722380641791994147,91.67,91.67
2005880000052431722358944596949577,41.67,41.67
2005880000052431722358876004572511,41.67,41.67
2005880000052431722400050451272150,108.33,108.33
2005880000052431722388130708696294,41.67,41.67
2005880000052431722430950446698276,266.67,266.67
2005880000052431722389025246542865,833.33,833.33
B2024073110000020203,250,250
2005880000052431722390043934214076,100,100
2005880000052431722415406438283175,75,75
2005880000052431722409818195632854,266.67,266.67
2005880000052431722384031204189279,83.33,83.33
2005880000052431722392605128162858,150,150
2005880000052431722387667282647899,833.33,833.33
2005880000052431722420103485881247,66.67,66.67
2005880000052431722423229980637089,66.67,66.67
2005880000052431722423076969806206,66.67,66.67
2005880000052431722396402151094775,158.33,158.33
2005880000052431722393747208114669,433.33,433.33
2005880000052431722397847170764360,500,500
2005880000052431722398654290505444,166.67,166.67
2005880000052431722416752781091481,91.67,91.67
2005880000052431722416705000911055,91.67,91.67
2005880000052431722416657411221763,91.67,91.67
2005880000052431722416718154782001,91.67,91.67
2005880000052431722416689301390821,91.67,91.67
2005880000052431722416730529938932,91.67,91.67
2005880000052431722416742055731681,91.67,91.67
2005880000052431722396453343061144,225,225
200588000005243022024073113000015298,89.32,89.32
2005880000052431722398689772812040,91.67,91.67
2005880000052431722412779959501793,125,125
2005880000052431722399925498024696,91.67,91.67
B2024073110000020197,41.67,41.67
2005880000052431722376226146687294,83.33,83.33
2005880000052431722382985017016642,377.78,377.78
2005880000052431722383028599748884,377.78,377.78
2005880000052431722427760875230433,66.67,66.67
2005880000052431722441295017185373,41.67,41.67
2005880000052431722441319119004510,41.67,41.67
2005880000052431722407011694267400,83.33,83.33
2005880000052431722441319913350645,41.67,41.67
2005880000052431722441295773057153,41.67,41.67
2005880000052431722441296663852036,83.33,83.33
2005880000052431722441320761838077,83.33,83.33
2005880000052431722359738395602226,50,50
2005880000052431722409752133920711,108.33,108.33
2005880000052431722419039628399580,41.67,41.67
2005880000052431722365874083219483,383.33,383.33
2005880000052431722357385706077064,50,50
2005880000052431722357387167840315,41.67,41.67
2005880000052431722430028701282348,358.33,358.33
2005880000052431722415180737643035,150,150
2005880000052431722396402628999114,41.67,41.67
2005880000052431722415776824182177,88.89,88.89
2005880000052431722419940356092735,383.33,383.33
2005880000052431722377658800436018,83.33,83.33
2005880000052431722419432346290966,133.33,133.33
2005880000052431722416833272950565,1111.11,1111.11
2005880000052431722436946211208117,83.33,83.33
2005880000052431722436959801147708,83.33,83.33
2005880000052431722402414857317500,150,150
2005880000052431722402396218180577,150,150
2005880000052431722358880540192442,41.67,41.67
2005880000052431722358949338586013,41.67,41.67
2005880000052431722419924494628874,125,125
2005880000052431722419940331345835,125,125
2005880000052431722439564923085351,416.67,416.67
2005880000052431722426541545014258,38.17,38.17
2005880000052431722426542745612378,250,250
2005880000052431722431450376616996,83.33,83.33
2005880000052431722403468523200385,500,500
2005880000052431722392601817680984,188.89,188.89
2005880000052431722415926414364479,83.33,83.33
2005880000052431722415818187831255,83.33,83.33
2005880000052431722415771541555164,33.33,33.33
2005880000052431722424453637936634,91.67,91.67
B2024073117000338595,241.67,241.67
2005880000052431722408745736991628,133.33,133.33
2005880000052431722433399006901958,66.67,66.67
2005880000052431722441122298681636,58.33,58.33
2005880000052431722417214715522865,83.33,83.33
2005880000052431722427368593568098,233.33,233.33
2005880000052431722357384369601313,83.33,83.33
2005880000052431722419035593126693,41.67,41.67
2005880000052431722395223102010501,250,250
2005880000052431722395177136234683,1250,1250
2005880000052431722395901619690101,158.33,158.33
2005880000052431722407012903730553,141.67,141.67
2005880000052431722425758037135342,333.33,333.33
2005880000052431722410333301508138,108.33,108.33
200588000005243022024073113000015310,0,0
2005880000052431722389018397634296,208.33,208.33
2005880000052431722399960662872115,183.33,183.33
2005880000052431722358921266897492,550,550
B2024073110000018076,66.67,66.67
2005880000052431722425174351340550,50,50
2005880000052431722421416083888103,150,150
2005880000052431722380674536391048,166.67,166.67
2005880000052431722441127923122278,41.67,41.67
2005880000052431722397657372822115,75,75
2005880000052431722420104071616099,66.67,66.67
2005880000052431722409752849961092,225,225
2005880000052431722430318445075892,41.67,41.67
B240731153606711495,974.97,974.97
B2024073110000018619,133.33,133.33
2005880000052431722408747550603512,116.67,116.67
2005880000052431722377660025082059,58.33,58.33
2005880000052431722392607383583911,175,175
2005880000052431722368826089878236,83.33,83.33
2005880000052431722402397401575715,75,75
2005880000052431722402416024629528,75,75
2005880000052431722400052634796364,83.33,83.33
2005880000052431722388595047485769,141.67,141.67
2005880000052431722388626168782574,141.67,141.67
2005880000052431722403720045520395,416.67,416.67
2005880000052431722408748695142558,41.67,41.67
2005880000052431722402789597394362,416.67,416.67
2005880000052431722386701484081686,83.33,83.33
2005880000052431722419038404766530,50,50
2005880000052431722381355112093102,100,100
2005880000052431722394122803088911,66.67,66.67
2005880000052431722423076271309628,100,100
2005880000052431722420103024059120,75,75
2005880000052431722417439264876085,216.67,216.67
2005880000052431722417439846638709,58.33,58.33
2005880000052431722392337415960314,250,250
2005880000052431722394922035203181,108.33,108.33
2005880000052431722357770806662380,216.67,216.67
2005880000052431722381422704211657,66.67,66.67
2005880000052431722356532302546617,166.67,166.67
2005880000052431722413145899004296,83.33,83.33
2005880000052431722413255521614132,83.33,83.33
2005880000052431722440853176645761,200,200
2005880000052431722422488866094554,466.67,466.67
2005880000052431722437526620295211,41.67,41.67
2005880000052431722419897619207588,41.67,41.67
2005880000052431722403467715249850,475,475
2005880000052431722430502776034223,116.67,116.67
2005880000052431722425054791287703,150,150
B2024073110000020206,125,125
2005880000052431722423145187467645,250,250
